PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PFGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PCEL,PLEL,TLEL,PREL,TREL,PCOL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PMGS,PQGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PTPS,PLSS,PTSS,PWSS,PFTS,PMTS,PQTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
3,3,3,3,25,Olin,Kreutz,2298,56,1,330,24,88,0,7,218,1,218,63,27,12,0,0,91,1,8,8,24,0,0,60,7,3,1015,81,29,94,92,3,2,35,0,2,0,62,0,0,0,0,252,100,0,0,5,0,15,0,0,57,1,6,330,6,0,3,31,86,18,6,25,21,0,1,95,20,91,98,90,0,0,0,0,22,28,25,36,24,25,27,0,50,16,36,0,7,7,0,51,50,75,9,45,0,3,2298,0,74,133,999,0,6,-31,0,0,188
2,2,2,2,19,Bryan,Robinson,2508,75,0,108,14,69,0,0,221,1,221,62,30,13,0,0,83,1,8,8,23,0,0,64,5,63,1009,67,85,27,24,0,2,29,0,0,0,73,2,2,2,2,66,100,0,0,5,0,23,0,0,98,2,6,108,6,0,15,20,74,54,7,36,24,0,1,90,15,84,84,80,3,3,3,3,16,31,40,40,19,32,34,0,0,32,11,0,12,12,18,65,40,55,29,48,17,16,2508,0,76,134,999,0,6,-31,0,0,170
5,6,5,6,17,Brian,Urlacher,3480,95,1,1400,18,90,0,5,224,1,224,87,26,0,0,1,97,1,8,8,62,0,0,86,1,9,1015,97,95,21,53,0,3,39,0,1,0,95,0,0,0,0,145,100,0,0,6,0,0,0,1,54,0,7,1400,7,0,1,31,93,78,4,44,47,11,1,80,17,80,97,89,3,3,3,3,0,20,20,0,40,0,30,0,60,0,40,0,14,14,0,0,15,30,0,30,0,20,3480,1,76,94,457,0,4,-31,0,0,398
6,2,6,2,44,Marty,Booker,2800,91,1,350,21,89,0,7,239,1,239,88,27,0,2,1,83,1,8,8,89,0,0,88,5,17,1015,81,16,25,31,0,1,63,0,0,0,70,0,0,0,0,229,100,3,2,5,0,30,0,0,86,2,7,350,7,0,3,48,85,90,5,3,70,0,1,86,21,65,88,89,2,2,2,2,0,20,86,0,10,5,26,0,0,0,22,0,3,3,100,70,0,33,0,7,0,0,2800,0,72,50,40,35,5,-31,0,0,33
3,3,3,3,36,Rex,Tucker,122,67,0,19,18,71,0,7,246,1,246,56,27,11,0,0,87,1,8,8,32,0,0,55,0,5,1015,85,26,87,90,0,3,28,0,2,0,81,0,0,0,0,215,100,0,0,1,0,0,0,0,64,1,1,19,1,0,3,19,77,23,5,43,30,0,1,88,16,90,89,85,0,0,0,0,45,30,34,43,44,45,41,0,33,51,27,0,6,6,16,73,21,65,32,22,17,15,122,0,77,155,999,0,5,-31,0,0,131
6,6,6,6,15,Dustin,Lyman,100,77,0,0,19,74,0,7,256,1,256,71,27,6,0,0,83,1,8,8,74,0,0,70,0,25,1015,79,69,55,56,0,8,50,0,2,0,94,0,0,0,0,249,100,0,0,1,0,32,0,0,89,2,2,0,2,0,3,18,39,70,4,26,59,0,1,88,29,73,73,64,2,2,2,2,0,24,67,24,11,7,41,16,11,6,16,0,4,4,30,63,21,35,0,27,17,13,100,0,76,85,999,0,4,-31,0,0,126
6,2,6,2,29,Jerry,Azumah,944,89,0,250,17,92,0,5,257,1,257,92,26,4,0,0,87,1,8,8,66,0,0,88,6,14,1015,81,69,25,28,0,7,54,0,0,0,63,0,0,0,0,266,100,0,0,1,0,30,0,0,23,2,5,250,5,0,5,24,68,87,5,2,55,0,1,78,23,57,81,70,3,3,3,3,8,20,58,38,26,7,27,0,34,20,15,2,16,16,100,39,0,36,1,20,16,11,944,0,70,29,584,86,5,-31,0,0,179
5,6,5,6,17,Mike,Brown,1700,90,0,500,26,88,0,0,261,1,261,87,26,0,2,1,94,1,8,8,69,0,0,88,3,8,1015,94,72,15,28,0,13,33,0,0,0,68,1,1,1,1,142,100,0,0,4,3,20,0,0,30,1,5,500,5,0,2,20,83,76,4,7,41,0,1,90,17,63,91,88,0,0,0,0,0,17,54,19,43,0,29,0,55,0,13,0,17,17,0,20,1,8,0,10,7,15,1700,0,70,47,54,12,4,-31,1,0,48
0,0,0,0,19,Paul,Edinger,700,94,0,160,91,51,0,6,262,1,262,54,26,0,0,0,40,1,8,8,29,0,0,46,1,8,1015,93,12,15,16,0,5,16,0,2,0,85,0,0,0,0,118,100,3,3,4,0,55,0,0,2,1,5,160,5,0,6,23,51,39,4,11,16,0,1,99,90,12,90,83,0,0,0,0,1,0,92,3,11,11,17,0,0,0,13,0,19,19,100,0,0,0,10,0,0,0,700,0,68,8,134,0,4,-31,0,0,100
3,3,3,3,35,Ruben,Brown,450,69,1,150,17,78,0,0,322,1,322,45,32,17,0,0,94,2,8,8,18,0,0,44,6,14,1009,61,13,88,92,1,3,17,0,0,0,94,2,2,2,2,166,100,0,0,3,1,0,0,0,74,0,3,150,3,0,1,20,84,10,10,8,15,0,1,84,14,93,92,92,2,2,2,2,60,37,70,100,18,45,75,0,61,100,25,0,8,8,76,74,82,83,77,23,8,21,450,0,75,144,999,0,0,-31,1,0,182
