txid,date,ptid,pfna,plna,tx,is_tx,tsna_fr,tsna_to,tsna_last,tgid_fr,tgid_to,tgid_last,text,full_c_tx,pfna_c_tx,plna_c_tx,pos_tx,pos_group_tx,pos_unit_tx,pgid,full_c,pfna_c,plna_c,pos,pos_group,pos_unit,page,povr,tsna,tgid,score_full,score_pfna,score_plna,match_pg,match_pu,match_fr,match_to,match_la
30,2004-02-11,640.0,Mike,Houghton,sign,1,FA,CAR,,1009.0,21.0,,The Carolina Panthers signed OL Mike Houghton.,mike houghton,mike,houghton,OL,,OL,16997,mike houghton,mike,houghton,RT,T,OL,24,59,FA,1009,1.0,1.0,1.0,0,1,1,0,0
40,2004-02-19,416.0,Jamin,Elliott,sign,1,FA,CHI,,1009.0,1.0,,The Chicago Bears signed WR Jamin Elliott.,jamin elliott,jamin,elliott,WR,WR,WR,16573,jamin elliott,jamin,elliott,WR,WR,WR,24,65,FA,1009,1.0,1.0,1.0,1,1,1,0,0
137,2004-03-03,330.0,Matt,Cushing,sign,1,FA,PIT,,1009.0,29.0,,The Pittsburgh Steelers signed TE Matt Cushing.,matt cushing,matt,cushing,TE,TE,TE,1688,matt cushing,matt,cushing,TE,TE,TE,27,53,FA,1009,1.0,1.0,1.0,1,1,1,0,0
156,2004-03-03,1154.0,Micah,Ross,sign,1,FA,SD,,1009.0,8.0,,The San Diego Chargers signed WR Micah Ross.,micah ross,micah,ross,WR,WR,WR,15434,micah ross,micah,ross,WR,WR,WR,28,65,FA,1009,1.0,1.0,1.0,1,1,1,0,0
273,2004-03-09,1229.0,Dainon,Sidney,sign,1,FA,DET,,1009.0,19.0,,The Detroit Lions signed CB Dainon Sidney.,dainon sidney,dainon,sidney,CB,CB,DB,1725,dainon sidney,dainon,sidney,CB,CB,DB,29,67,FA,1009,1.0,1.0,1.0,1,1,1,0,0
318,2004-03-12,94.0,Marcus,Bell,sign,1,FA,HOU,,1009.0,32.0,,The Houston Texans signed LB Marcus Bell.,marcus bell,marcus,bell,LB,LB,LB,1621,marcus bell,marcus,bell,LOLB,LB,LB,27,66,FA,1009,1.0,1.0,1.0,1,1,1,0,0
323,2004-03-12,676.0,Willie,Jackson,sign,1,FA,DEN,,1009.0,4.0,,The Denver Broncos signed WR Willie Jackson.,willie jackson,willie,jackson,WR,WR,WR,1583,willie jackson,willie,jackson,WR,WR,WR,33,75,FA,1009,1.0,1.0,1.0,1,1,1,0,0
348,2004-03-16,233.0,Jeff,Chandler,sign,1,FA,JAX,,1009.0,17.0,,The Jacksonville Jaguars signed K Jeff Chandler.,jeff chandler,jeff,chandler,K,K,KP,15281,jeff chandler,jeff,chandler,K,K,KP,25,71,FA,1009,1.0,1.0,1.0,1,1,1,0,0
359,2004-03-16,1121.0,Wade,Richey,sign,1,FA,BAL,,1009.0,25.0,,The Baltimore Ravens signed K Wade Richey.,wade richey,wade,richey,K,K,KP,958,wade richey,wade,richey,K,K,KP,28,74,FA,1009,1.0,1.0,1.0,1,1,1,0,0
399,2004-03-22,5.0,Blue,Adams,resign,1,JAX,JAX,,17.0,17.0,,The Jacksonville Jaguars re-signed CB Blue Adams.,blue adams,blue,adams,CB,CB,DB,17249,blue adams,blue,adams,CB,CB,DB,24,61,FA,1009,1.0,1.0,1.0,1,1,0,0,0
405,2004-03-22,191.0,Joe,Burns,resign,1,BUF,BUF,,3.0,3.0,,The Buffalo Bills re-signed FB/R Joe Burns.,joe burns,joe,burns,FB,FB,RB,14956,joe burns,joe,burns,FB,FB,RB,24,70,FA,1009,1.0,1.0,1.0,1,1,0,0,0
